name,event_type,start_date,start_time,end_date,end_time,registered_count,attended_count,registration_required,budget,net,location,committee,,,
UPBrings You to Columbus,Social,4/5/25,07:30:00,4/5/25,22:30:00,51,49,1," $3,000.00 "," $2,482.50 ",Columbus,Trips,,,
UPB x Mahjong Club x Learn to Be x Quidditch: Thwing Tuesday ,Luncheon,4/15/25,17:30:00,4/15/25,19:00:00,222,166,1," $3,000.00 "," $5,013.00 ",Thwing Ballroom,TT,,,
Thwing Tuesday,Luncheon,4/1/25,17:30:00,4/1/25,18:30:00,210,210,0," $3,000.00 "," $3,496.00 ",Thwing Atrium,TT,,,
Thwing Tuesday - Performing Arts Edition,Luncheon,3/18/25,18:00:00,3/18/25,20:30:00,173,122,1," $3,000.00 "," $4,000.40 ",Thwing Ballroom,TT,,,
Thwing Tuesday,Luncheon,3/4/25,17:30:00,3/4/25,18:30:00,210,150,1," $3,000.00 "," $2,574.99 ",Thwing Atrium,TT,,,
Thwing Tuesday UPBowl of Ramen,Luncheon,2/18/25,17:30:00,2/18/25,18:30:00,235,203,1," $3,000.00 "," $2,498.40 ",Thwing Atrium,TT,,,
Cultural Thwing Tuesday ,Luncheon,2/4/25,17:30:00,2/4/25,18:30:00,179,129,1," $3,000.00 "," $3,453.75 ",Thwing Ballroom,TT,,,
Baking for a Cause x LUX Thwing Tuesday,Luncheon,1/24/25,17:00:00,1/24/25,18:30:00,107,68,1," $3,000.00 "," $1,660.00 ",Thwing Atrium,TT,,,
UPBreak the Case,Activities,2/20/25,18:30:00,2/20/25,22:30:00,47,40,1," $1,420.00 ", $806.54 ,Guilford House,UPBweek,,,
UPBreakfast at Tiffany's,Luncheon,2/21/25,17:00:00,2/21/25,19:00:00,91,69,1," $2,110.00 ","$1,911.14 ",Thwing Atrium,UPBweek,,,
UPBrick By Brick,Activities,2/22/25,18:00:00,2/22/25,20:00:00,40,38,1," $1,600.00 ","$1,357.14 ",Guilford House,UPBweek,,,
UPVroom Vroom,Activities,2/23/25,14:00:00,2/23/25,17:00:00,47,28,1," $1,630.00 ",$952.92 ,Thwing Ballroom,UPBweek,,,
UPBrunch & Tea,Luncheon,2/22/25,13:30:00,2/22/25,16:00:00,74,31,1," $2,060.00 ","$2,059.25 ",Guilford House,UPBweek,,,
UPBonbon,Activities,2/17/25,17:00:00,2/17/25,18:30:00,151,111,1," $1,170.00 ","$1,042.39 ",Thwing Atrium,UPBweek,,,
